,#,ID1_2,ID2_2,ID3_2,RA_2,Dec_2,z_2,S_NVSS,L_NVSS,S_First,L_First,size_rad,FRclass,g_min_r,concent,mass_2,bk4000,o3lum_1,Mbh/Mstar,R_50_kpc,mu50,sfr_tot_p50,specsfr_tot_p50,o3lum_2,o3redcor,o3sn,o3lumlim,o3
157,,1163,52669,170,14.833385999999999,54.084480000000006,0.14138,0.1077,24.74,0.0,0.0,22.61,210,1.04,2.83,11.45,2.02,5.85,0.0006165949477018448,10.5238102708282,405017623.78121746,-0.4931645000000001,-12.0075,5.85,6.94,0.9,6.38,0.0
158,,1001,52670,3,10.910988,6.1085199999999995,0.13549,0.0587,24.44,0.0,0.0,40.89,200,1.01,3.38,11.43,1.94,5.68,0.0008317639172213712,7.103568531878096,848921020.4572253,-1.1490559999999999,-12.61037,5.68,6.76,0.71,6.31,0.0
159,,1205,52670,491,8.092035899999999,25.80345,0.13698,0.0692,24.52,0.0043,23.313362822197494,332.14,210,1.0,3.25,11.54,1.93,0.0,0.0007413100459583174,8.090394920204979,843103030.5788281,-0.856632,-12.462760000000001,0.0,1.11,-0.19,6.63,0.0
160,,1201,52674,135,9.2660868,41.48435,0.15098,0.1172,24.84,0.0,0.0,15.63,200,1.08,3.2,11.59,2.06,6.26,0.0014454392628956644,11.301268568374352,484803663.06968033,-1.182315,-12.8395,6.26,7.38,1.47,6.57,0.0
161,,1209,52674,339,8.645725500000001,32.88662,0.21275,0.114,25.15,0.0114,24.149999625001765,50.13,210,1.1,3.19,11.68,1.94,6.7,0.0008511367672643796,11.354320660275798,590878416.7859894,-0.8495381,-12.547889999999999,6.7,7.84,2.43,6.79,0.0
162,,1201,52674,213,9.2459829,41.620670000000004,0.14038,0.449,25.36,0.0042,23.33100355292796,73.24,200,1.17,2.68,11.95,1.82,7.57,0.000776247730275455,12.61305261889026,891619433.9009539,-0.39162129999999995,-12.41734,7.57,8.27,30.1,6.56,7.57
163,,1194,52703,242,9.195648199999999,6.16932,0.17556,0.055999999999999994,24.66,0.0011,22.953204479678163,72.6,200,1.04,3.01,11.38,1.86,5.94,0.0007585777749219503,8.476917713621223,531305499.4224973,-0.9273805,-12.35783,5.94,7.01,0.63,6.62,0.0
164,,1265,52705,158,8.0930567,24.16399,0.05968,4.781000000000001,25.6,0.0,0.0,188.84,200,0.96,3.26,10.99,1.68,7.79,0.001513562312005786,3.2758102323695453,1449380561.595129,-0.44338779999999994,-11.50135,7.79,8.04,76.89,6.38,7.79
165,,1017,52706,284,11.836466,53.72241999999999,0.06031,0.0743,23.8,0.0131,23.046281731849323,31.28,200,1.07,2.68,11.25,2.07,5.74,0.0013489632380568445,7.932067487378697,449828875.6384117,-1.059688,-12.40783,5.74,6.76,1.79,5.97,0.0
166,,1013,52707,165,11.357347,53.7491,0.10378,0.083,24.34,0.0076,23.301735685786728,103.19,200,1.03,2.83,11.56,1.9,6.08,0.000501187013514281,12.385543969643832,376695455.09962654,-0.9412189000000001,-12.573269999999999,6.08,7.19,2.37,6.18,0.0
167,,938,52708,506,9.323181199999999,40.6508,0.27867,0.051,25.06,0.006,24.130580541845962,102.7,200,1.07,2.75,11.74,1.96,6.23,0.0009120109194638906,11.420047207674234,670631740.4785879,0.5318589,-11.262830000000001,6.23,7.39,1.36,6.57,0.0
168,,1187,52708,96,8.6840525,4.791930000000001,0.20246,0.142,25.2,0.0,0.0,12.63,200,1.08,3.1,11.73,2.19,0.0,0.0014125394057124814,12.192162279539394,574987237.0038508,-0.7178148,-12.52241,0.0,1.15,-0.96,6.45,0.0
169,,1004,52723,175,11.181396000000001,7.23389,0.22054,0.0549,24.87,0.0,0.0,11.71,210,1.12,2.74,11.91,1.93,5.91,0.0008511386362915022,14.555979672225986,610572300.8106897,0.06491444,-11.90855,5.91,7.1,0.99,6.4,0.0
170,,1195,52724,405,9.408565300000001,7.9489,0.10428,0.055,24.17,0.0,0.0,24.33,210,1.05,3.16,11.61,1.97,5.93,0.001819701817628807,7.080052561471008,1293441599.666642,-0.9682550999999999,-12.58113,5.93,7.06,1.42,6.26,0.0
171,,1234,52724,13,9.804077099999999,7.71444,0.16297,0.1888,25.12,0.0,0.0,18.39,210,1.05,2.73,11.56,1.94,5.42,0.0011220164832168363,11.114705182117618,467761696.8007577,-1.337774,-12.90848,5.42,6.53,0.11,6.86,0.0
172,,1231,52725,47,12.455089,8.84355,0.08847999999999999,0.0448,23.93,0.0,0.0,23.91,200,1.0,3.41,11.12,1.96,5.47,0.0016218102398133033,5.091839697330547,809227386.2790053,-1.227087,-12.39462,5.47,6.45,0.76,6.07,0.0
173,,1042,52725,519,13.693014000000002,53.74548000000001,0.14094,1.1179999999999999,25.76,0.4552,25.36976064470046,79.28,200,0.97,3.23,11.29,1.59,7.52,0.0014454392628956644,5.806502249665427,920430277.2822144,0.3282157,-11.00327,7.52,8.04,27.49,6.56,7.52
174,,1042,52725,594,13.765988,54.05461999999999,0.1625,0.33,25.36,0.0093,23.809969606710897,287.95,200,1.08,3.27,11.24,1.94,6.87,0.0006309576215861531,7.206144520442842,532615703.9897205,-1.055669,-12.31652,6.87,7.89,6.13,6.56,6.87
175,,1215,52725,533,9.6900055,39.74496,0.1075,1.811,25.72,0.0,0.0,74.85,200,0.98,3.06,11.25,1.6,8.03,0.0009120109194638906,4.461130912737751,1422100194.6794753,0.4520403,-10.847389999999999,8.03,8.39,71.66,6.65,8.03
176,,1288,52731,587,14.628101999999998,45.39283,0.24796999999999997,0.0962,25.23,0.0,0.0,10.62,200,1.1,3.29,11.79,1.99,6.34,0.0010471296517666536,12.941264592201328,585958232.1538968,-0.6532011999999999,-12.50417,6.34,7.5,1.82,6.55,0.0
